forward_from,forward_to,count
1654513755,1539622584,2667
1172517043,1702600049,1443
2138279330,2141331735,1242
1009682794,1047936974,1047
1009682794,1346263268,1004
1745302615,1745302615,995
1293223450,1006487902,892
1422594647,1827750862,878
1650359602,1965528015,870
1172517043,1346263268,838
1848678223,1346263268,834
1635862402,1760395905,822
1161666782,1458480018,820
1920019772,1781480731,731
1668977160,1676275372,722
1781480731,1665378999,699
1626824086,1458480018,685
1426514777,1861575578,668
1172517043,1789080285,650
1197163972,1789080285,648
1172517043,1665378999,622
1822184731,1702600049,609
1071495228,1346263268,598
1295914050,1071495228,579
1377364871,1161666782,561
1781480731,1781480731,548
1214168367,1525546583,546
1458480018,1161666782,529
1292629765,1702600049,527
1975274302,1161666782,515
1392668964,1702600049,512
1654476662,1006487902,512
1507630146,1047936974,499
1731141767,2141331735,476
1189544175,1665378999,465
1321593888,1161666782,460
1125902924,1525546583,454
1297056685,1789080285,452
1189544175,1346263268,430
1626824086,1161666782,424
1860107178,1861575578,416
1009682794,1665378999,411
1172517043,1047936974,407
1346263268,1346263268,404
1528487044,1789080285,390
1506450597,1702600049,385
1403720833,1676275372,384
1284266233,1827750862,364
1081551422,1382842129,358
1816554154,1676275372,356
1083234626,1295914050,355
1279658538,1745302615,343
1575513514,1346263268,336
1649202459,1691914868,332
1009749057,1789080285,317
1478055736,1161666782,313
1789080285,1702600049,308
1478177369,1478177369,304
1266318176,1676275372,303
2142020247,1135973695,297
1009749057,1346263268,297
1172517043,1071495228,293
1500171387,1702600049,293
1187620806,1827750862,293
1657331448,1827750862,285
1172517043,1540400395,277
1873940612,1346263268,276
1528487044,1702600049,275
1197163972,1346263268,273
1665378999,1702600049,267
1195125468,1919213412,260
1499017567,1161666782,257
1155189272,1525546583,256
1129876761,1346263268,255
1009682794,1789080285,254
1919584255,1676275372,238
1660664068,1264072424,238
1967801113,1827750862,232
1731141767,1827750862,232
1641520356,1676275372,231
2126832897,1702600049,228
1102335963,1525546583,221
1731141767,2138279330,218
1860107178,1394010098,218
1603259782,1827750862,215
1392668964,1665378999,213
1346263268,1702600049,210
1445581228,1009749057,210
1478177369,1822184731,209
1572759472,1827750862,207
1214965668,1789080285,204
1528487044,1672536590,203
1676275372,1816554154,203
1731141767,1702600049,202
1517028838,1047936974,200
1196373558,1827750862,198
1957004356,1676275372,192
1345902394,1572759472,190
2107083631,1525546583,190
2077657312,1894228419,190
1301962344,1702600049,189
1891165770,1161666782,188
1655979710,1827750862,187
1668977160,1861575578,184
1540983927,1161666782,184
1883299131,1161666782,184
1478177369,1702600049,184
1860107178,1676275372,180
1891165770,1458480018,179
1462876169,1665378999,176
1810182217,1161666782,176
2107083631,1182038013,175
1214965668,1702600049,173
1927537940,1914179461,172
1247376754,1525546583,171
1816554154,1861575578,170
2104843871,1161666782,169
1182038013,1525546583,169
1358740402,1894228419,169
1124060648,1702600049,166
1689636108,1827750862,165
1060839277,1295914050,164
1041604931,1789080285,163
1310984791,1458480018,163
1371670256,1525546583,162
1214168367,1735387179,158
1671535621,2141331735,158
1074511071,1861575578,157
1709192717,1161666782,156
2138279330,1823246910,155
2095984797,1189641428,152
1735387179,1525546583,152
1727826599,1676275372,152
1231951133,1827750862,151
1662257560,1277138224,151
1568954471,1702600049,150
1628206758,1346263268,149
1601173205,1672536590,148
1228474199,1569413723,147
1766213673,1161666782,147
1114706323,1702600049,146
1226866970,1187228866,144
1418626942,1161666782,142
1174122085,1569413723,138
1827750862,1182038013,137
1283479526,1758476679,136
1394010098,1789080285,132
1694389100,1676275372,131
1614041121,1535105594,131
1773879520,1458480018,129
1699181712,1346263268,129
1301591875,1789080285,129
1392668964,1789080285,129
1617420438,2065980775,128
1458480018,1569413723,127
1176223343,1569413723,125
1009682794,1702600049,125
1161666782,1321593888,124
1568954471,1822184731,123
1429391130,1789080285,123
1489978693,1676275372,123
1525546583,1450478912,123
1575513514,1822184731,123
1973676748,1525546583,122
1458480018,1458480018,122
1798416701,1009749057,122
1277138224,1789080285,121
1377364871,1676275372,121
1759724465,1702600049,120
1182626340,1789080285,120
2044710055,1676275372,119
1789080285,1822184731,119
1309409559,1138409069,117
1641520356,1861575578,117
1291651094,1467703355,116
1900950642,1827750862,115
