forward_from,forward_to,count
1344471586,1344471586,290
1796096784,1394864973,288
1757951604,1394864973,185
1216987129,1394864973,135
1636550716,1394864973,92
1355997151,1394864973,54
1879647616,1394864973,44
1281032141,1394864973,39
1919608063,1394864973,31
1751034477,1394864973,31
1318655547,1394864973,27
1659816199,1394864973,26
1480147271,1344471586,24
1691299588,1394864973,22
2142434931,1394864973,21
1455830529,1394864973,16
1850972694,1394864973,15
2114197819,1394864973,13
1879320718,1394864973,12
1177310741,1344471586,11
1871322814,1394864973,10
1611808700,1394864973,10
1712348366,1344471586,9
1729608542,1394864973,9
1623963447,1394864973,9
1182409216,1344471586,9
1985819232,1394864973,9
2098891001,1394864973,8
1956399677,1394864973,7
2071879003,1394864973,7
1510627978,1344471586,7
1553618785,1394864973,6
1241907375,1344471586,6
2138457338,1394864973,4
1854612234,1394864973,4
1849977466,1394864973,4
1216001239,1394864973,3
1856892401,1344471586,3
1787190842,1344471586,3
1242031478,1394864973,3
1226866970,1394864973,2
1394864973,1394864973,2
2101278126,1394864973,2
1554578584,1394864973,2
1506064089,1394864973,1
1768039844,1344471586,1
1876121761,1344471586,1
1723813463,1344471586,1
1713781188,1394864973,1
1392773702,1394864973,1
1655441290,1394864973,1
1586195079,1344471586,1
1573599559,1394864973,1
2139720080,1394864973,1
1175952757,1344471586,1
