forward_from,forward_to,count
1394864973,1751034477,237
1394864973,1636550716,224
1480147271,1480147271,171
1394864973,1956399677,151
1394864973,1757951604,147
1394864973,1455830529,137
1394864973,1879647616,131
1394864973,1796096784,129
1394864973,1879320718,121
1186921499,1655441290,118
1394864973,1355997151,115
1394864973,1691299588,112
1394864973,1919608063,109
1344471586,1177310741,99
1220769358,1392773702,98
1394864973,2142434931,96
1327462805,1655441290,84
1458480018,1655441290,79
1395570809,1216001239,75
1394864973,2114197819,73
1394864973,1242031478,73
1394864973,1216987129,68
1394864973,1623963447,67
1394864973,2098891001,67
1796096784,1879320718,54
1394864973,1854612234,54
1344471586,1480147271,49
1226866970,1757951604,49
1713781188,1392773702,46
1796096784,1691299588,40
1161666782,1655441290,37
1820248920,1392773702,36
1480147271,1177310741,36
1394864973,1318655547,34
1226866970,1956399677,31
1177310741,1177310741,31
1279979859,1392773702,30
1288641123,1655441290,29
1884401262,1655441290,29
1795192515,1392773702,28
1593273261,1655441290,28
1640635059,1655441290,28
1403222708,1281032141,27
1871322814,1226866970,27
1796096784,1355997151,26
1226866970,1879320718,25
1344471586,1723813463,25
1856892401,1177310741,25
1795192515,1713781188,24
1796096784,1751034477,22
1220769358,1713781188,21
1796096784,1919608063,21
1192193228,1655441290,20
1226866970,1729608542,20
1757951604,1751034477,19
1796096784,1854612234,19
1394864973,1226866970,19
1185662854,1655441290,19
1226866970,1751034477,18
1796096784,1226866970,17
1394864973,2071879003,17
1226866970,1355997151,17
1226866970,1506064089,17
1604041154,1177310741,16
1241907375,1177310741,16
1344471586,1510627978,16
1226866970,1919608063,16
1582572420,1216001239,15
1901753447,1655441290,15
1227310423,1655441290,15
1209682122,1655441290,14
1768039844,1177310741,14
1781495758,1392773702,14
1545383908,1655441290,14
1344471586,1787190842,14
1394864973,1281032141,14
1392773702,1392773702,13
1394864973,2138457338,13
1226866970,1455830529,13
1281032141,1355997151,13
1316544327,1655441290,13
1985819232,1796096784,12
1510627978,1177310741,12
1560312561,1392773702,12
1344471586,1768039844,12
1351421155,1455830529,12
1333231933,1216987129,11
1281032141,2114197819,11
1757951604,1355997151,11
1006487902,1655441290,11
1182409216,1480147271,11
1182409216,1787190842,11
1795647281,1796096784,10
1355811461,2098891001,10
1412586803,1655441290,10
1553618785,2142434931,10
1795781572,1392773702,10
1169523514,1655441290,10
1754869180,1655441290,10
1796096784,2142434931,10
1182409216,1182409216,9
1497242922,1655441290,9
1712348366,1480147271,9
1712348366,1177310741,9
1796096784,1956399677,9
1236887441,1655441290,9
1510627978,1480147271,9
1757951604,1636550716,9
1453972139,1318655547,9
1289469654,1655441290,9
1283783788,1506064089,9
1177310741,1480147271,9
1226866970,1242031478,9
1626824086,1655441290,9
1731206105,1177310741,9
1321593888,1655441290,8
1510627978,1712348366,8
1493281246,1392773702,8
1584591597,1655441290,8
1281032141,1919608063,8
1299511899,1216001239,8
1480147271,1586195079,8
1985819232,1623963447,8
1226866970,1871322814,8
1394864973,1729608542,8
1150856693,1177310741,8
1182409216,1510627978,8
1604041154,1856892401,8
1985819232,1355997151,7
1308918169,1655441290,7
1495425221,1655441290,7
1182409216,1177310741,7
1384662779,1655441290,7
1985819232,1729608542,7
2036008937,1655441290,7
1281032141,1757951604,7
1506064089,2114197819,7
1335927003,1655441290,7
1449718818,1226866970,7
1248811129,1655441290,7
1215579003,1553618785,7
1226866970,1216987129,7
1281032141,1751034477,6
1580163008,1655441290,6
1712348366,1510627978,6
1306042330,1554578584,6
1303598083,1216001239,6
1241907375,1241907375,6
1216987129,1751034477,6
1216001239,1655441290,6
1555085718,1655441290,6
1796096784,1636550716,6
1985819232,1757951604,6
1713224392,1655441290,6
2101278126,1355997151,6
1283783788,1242031478,6
1226866970,1281032141,6
2081869907,1655441290,6
1796096784,1623963447,6
1985819232,1854612234,5
1723813463,1177310741,5
1757951604,1455830529,5
1126621715,1655441290,5
2139720080,2101278126,5
2101278126,1757951604,5
1796096784,1757951604,5
1757951604,1879647616,5
1985819232,2098891001,5
