forward_from,forward_to,count
1235779695,1235779695,2098
1840238787,1235779695,1116
1293223450,1006487902,890
1320598051,1235779695,880
1220318149,1300269873,877
1266318176,1235779695,848
1161666782,1458480018,817
1626824086,1458480018,685
1346350333,1235779695,653
1839913190,1235779695,652
1783482370,1235779695,600
1382991987,1285109582,583
1377364871,1161666782,561
1911156794,1911156794,536
1975274302,1161666782,515
1161666782,1709192717,509
1654476662,1006487902,509
1458480018,1161666782,506
1256952599,1300269873,505
1283151103,1235779695,498
1321593888,1161666782,459
1626824086,1161666782,424
1683565518,1285109582,414
1538582143,1139279191,413
1593273261,1593273261,404
1429696375,1150849367,388
1662934043,1285109582,379
1283479526,1684266592,378
1220318149,1577592108,353
1235779695,1839913190,345
1393034716,1397620285,344
1307070767,1730851033,327
1577592108,1300269873,318
1590534742,1709192717,316
1478055736,1161666782,308
1170367476,1731206105,291
1161666782,2104843871,290
1279979859,1529445831,288
1884129985,1235779695,286
1503007804,1397620285,283
2018712933,1285109582,282
1492951998,1565564438,265
1932035583,1860107178,265
1499017567,1161666782,255
1681539189,1235779695,231
1458480018,1709192717,221
1362482073,1235779695,219
1577592108,1236887441,212
1300269873,1577592108,211
1452921969,1681539189,210
1458480018,1310984791,191
1238814831,1300269873,188
1891165770,1161666782,188
1565564438,1565564438,187
1540983927,1161666782,184
1883299131,1161666782,184
1891165770,1458480018,179
1227310423,1734629000,178
1626824086,1810182217,178
1458480018,1397620285,175
1582573694,1260577445,174
1810182217,1161666782,171
1256952599,1577592108,169
1179270258,1397620285,168
2104843871,1161666782,167
1798246576,1565564438,166
1310984791,1458480018,162
1487195700,1235779695,162
1426514777,1932035583,157
1235779695,1681539189,157
1226866970,2065146907,156
1681539189,1839913190,155
1709192717,1161666782,155
1236887441,1300269873,152
1753389402,1830047534,151
1637791626,1511484806,150
1600273680,1177375464,149
1478154831,1884129985,149
1758476679,1283479526,149
1766213673,1161666782,147
2106287593,1235779695,146
1478261923,1565564438,144
1161666782,1310984791,144
1226866970,1187228866,144
2033612807,1480191907,143
1418626942,1161666782,142
1839913190,1681539189,140
1236887441,1577592108,138
1579470613,1579470613,132
1884129985,1839913190,131
1810182217,1709192717,131
1684266592,1283479526,130
1210834714,1731206105,128
1773879520,1458480018,128
1321593888,1709192717,127
1335927003,1335927003,126
1586448007,1579470613,125
1839913190,1884129985,125
1161666782,1321593888,124
1458480018,1458480018,122
1011715096,1139279191,118
1620420179,1397620285,115
1154851627,1285109582,115
1189709213,1150849367,114
1260577445,1734629000,112
1633041699,1397620285,112
1975274302,2104843871,109
1358564325,1161666782,105
1405137531,1511484806,103
1308697578,1161666782,102
1537563959,1192193228,102
1326040001,1731206105,101
1269602563,1161666782,101
1766213673,1803626942,100
1452921969,1839913190,100
1668977160,1709192717,99
1784668808,1235779695,99
1161666782,1975274302,98
1220318149,1236887441,98
1734629000,1260577445,98
1851216503,1730851033,98
1327462805,2065146907,97
1226363458,1161666782,97
1856125821,1161666782,96
1499017567,1458480018,95
1198701644,1235233307,94
1375690723,1235779695,92
1505034921,1530205157,92
1758476679,1684266592,92
1654765291,1235233307,91
1822461311,1226363458,91
1891165770,1626824086,91
1810182217,1463866355,89
1584591597,1288641123,89
1260577445,1260577445,88
1440826143,1150849367,87
1452921969,1235779695,87
1209682122,1511484806,86
2131959457,1290208094,86
1655126925,1830047534,85
1326223284,1709192717,85
1002489027,1006487902,84
1738596741,1235233307,82
1459279278,1397620285,82
1417239696,1187228866,82
1727630073,1565564438,82
1499017567,1321593888,81
1326538128,1397620285,81
1525546583,1214168367,80
1982094495,1684266592,79
1383999758,1730851033,79
1161666782,1626824086,79
1374512182,1235233307,78
1218132733,1397620285,77
1218420610,1260577445,77
1810182217,1458480018,76
1311276571,1299511899,76
1243621979,1397620285,76
1192193228,1537563959,76
1671989371,1412586803,76
1236945724,1493281246,76
