forward_from,forward_to,count
1846760823,1767430683,41
1878474481,1767430683,39
1689393434,1767430683,29
2049802705,1767430683,22
1117870302,1767430683,15
1744562599,1767430683,11
1230715784,1767430683,10
1472999410,1767430683,9
1654513755,1767430683,8
1807088649,1767430683,8
1827689029,1767430683,6
1747155259,1767430683,5
1940691543,1767430683,4
1387906893,1767430683,3
1930914339,1767430683,3
1157404621,1767430683,2
1224316051,1767430683,2
1214195618,1767430683,2
1056710815,1767430683,2
1996057095,1767430683,2
1799989916,1767430683,2
1387635169,1767430683,2
1691914868,1767430683,2
1498058927,1767430683,2
1641196056,1767430683,1
1651956267,1767430683,1
1398053920,1767430683,1
1740478348,1767430683,1
1395214474,1767430683,1
1516036904,1767430683,1
1415268036,1767430683,1
1258580740,1767430683,1
1820842292,1767430683,1
1542966009,1767430683,1
1258729730,1767430683,1
1107722115,1767430683,1
1541379660,1767430683,1
2110778613,1767430683,1
1405838275,1767430683,1
1380326868,1767430683,1
1246036610,1767430683,1
1538074934,1767430683,1
1204301357,1767430683,1
1767430683,1767430683,1
1578355652,1767430683,1
1647117435,1767430683,1
1319427729,2084686607,83
1846760823,2084686607,71
1117870302,2084686607,64
2049802705,2084686607,63
1878474481,2084686607,40
1689393434,2084686607,27
1056710815,2084686607,20
1327462805,2084686607,20
1398053920,2084686607,18
1743088110,2084686607,13
2091592724,2084686607,12
1996057095,2084686607,12
2020688273,2084686607,11
1568515838,2084686607,10
1747155259,2084686607,9
1807088649,2084686607,8
1837402171,2084686607,7
1828308653,2084686607,6
1387906893,2084686607,6
1095933253,2084686607,6
1744562599,2084686607,6
2079643681,2084686607,6
1812166218,2084686607,6
2128501545,2084686607,6
2139303813,2084686607,5
1611367266,2084686607,5
1316544327,2084686607,5
1517340789,2084686607,5
1225076162,2084686607,5
1140540694,2084686607,4
1650180086,2084686607,4
1230715784,2084686607,4
1872712152,2084686607,4
1692271774,2084686607,4
2085576085,2084686607,3
1387635169,2084686607,3
1411396358,2084686607,3
2110778613,2084686607,3
2126868041,2084686607,3
1536183282,2084686607,3
1505364686,2084686607,2
1148125857,2084686607,2
1605290688,2084686607,2
2120092168,2084686607,2
1676632166,2084686607,2
1641196056,2084686607,2
2023080882,2084686607,2
1498058927,2084686607,2
1583353875,2084686607,2
1360502680,2084686607,2
1616286676,2084686607,1
2075100180,2084686607,1
1599381004,2084686607,1
1985829006,2084686607,1
2114173913,2084686607,1
1214195618,2084686607,1
1981172029,2084686607,1
1292205120,2084686607,1
1904372272,2084686607,1
1529914862,2084686607,1
1258580740,2084686607,1
1624455255,2084686607,1
1366170297,2084686607,1
1032538431,2084686607,1
1273853184,2084686607,1
1268316239,2084686607,1
1539846436,2084686607,1
1624251687,2084686607,1
1626446406,2084686607,1
1550159587,2084686607,1
1713224392,2084686607,1
1480147271,2084686607,1
2053617893,2084686607,1
1511484806,2084686607,1
1246036610,2084686607,1
1380326868,2084686607,1
1538392213,2084686607,1
2090339310,2084686607,1
1766958639,2084686607,1
1926297975,2084686607,1
1940691543,2084686607,1
