forward_from,forward_to,count
1810112073,1538074934,329
1649202459,1691914868,327
1699360698,1268316239,262
1501908032,1398053920,148
1398867876,1676632166,124
2085331538,1157404621,102
1056710815,1676632166,78
1272474742,1641196056,54
1580163008,1316544327,48
1641356810,1641196056,45
1230715784,1846760823,42
2079643681,1846760823,41
1392084409,1157404621,33
2119359928,1157404621,32
1689393434,1846760823,31
1398867876,1398053920,30
1612342538,1157404621,27
1641196056,1846760823,23
1795659112,1691914868,23
1894228419,1691914868,23
1498058927,1498058927,22
1486151887,1415268036,21
1719736627,1157404621,20
1666659789,1157404621,20
1485363608,1398053920,20
1570200651,1691914868,19
1454728294,1157404621,18
1596515487,1415268036,17
1649202459,1654513755,15
1691914868,1691914868,15
1716286817,1740478348,14
1846760823,2079643681,14
1229245074,1415268036,12
1605290688,1605290688,12
1580163008,1578355652,12
1662934043,1654513755,12
1629970915,1157404621,11
1297911165,1157404621,10
1402367485,1415268036,10
1964040848,1538074934,9
1539553874,1056710815,9
1358740402,1691914868,8
1423865040,1538074934,8
1654513755,1846760823,8
1366246764,1415268036,8
1151557620,1398053920,8
1154851627,1691914868,8
1696875501,1398053920,8
1067340713,1056710815,8
1067340713,1398053920,7
1747155259,1747155259,7
1440129259,1740478348,7
1233275398,1641196056,7
1562153282,1691914868,7
1403079012,1157404621,7
1397744517,1691914868,7
1067340713,1676632166,6
2077657312,1641196056,6
1498058927,1996057095,6
1185782282,1740478348,6
1407318288,1316544327,6
1086465864,1415268036,5
1683565518,1691914868,5
1485363608,1676632166,5
1514647226,1654513755,5
2085921682,1157404621,5
1499019500,1398053920,5
1858355777,1258580740,5
1744562599,1846760823,5
1558811992,1415268036,5
1564910578,1641196056,5
1712621622,1157404621,5
1584030357,1268316239,4
1982080538,1157404621,4
1720805180,1691914868,4
1691914868,1654513755,4
1720888508,1691914868,4
1059695872,1415268036,4
1292891939,1654513755,4
1288641123,1846760823,4
1764246624,1415268036,4
1374961501,1641196056,4
1250811576,1691914868,4
1499019500,1316544327,4
1552268755,1415268036,4
1894228419,1641196056,4
1214195618,1676632166,4
1372645532,1157404621,4
1515558640,1157404621,4
1265355020,1157404621,4
1382991987,1641196056,3
2096140849,1415268036,3
1699360698,1398053920,3
1809631222,1641196056,3
2009752239,1415268036,3
1404658297,1740478348,3
1423337731,1846760823,3
1523014720,1691914868,3
1777506721,1157404621,3
1539553874,1676632166,3
1637791626,1740478348,3
1472999410,1472999410,3
1074354585,1654513755,3
1268316239,1268316239,3
1290899049,1691914868,3
1334094736,1641196056,3
1327462805,1258580740,3
1289799313,1157404621,3
1323132810,1654513755,3
1129390120,1415268036,3
1170367476,1641196056,3
1435994330,1415268036,2
1440129259,1605290688,2
1432950893,1740478348,2
1154851627,1846760823,2
1912440533,1398053920,2
1940949878,1740478348,2
1718513489,1740478348,2
1459834073,1316544327,2
1472543380,1641196056,2
1472999410,1996057095,2
1476688078,1846760823,2
1887784100,1740478348,2
1358740402,1641196056,2
1572341655,1157404621,2
1799989916,1996057095,2
1540145644,1691914868,2
1767430683,1846760823,2
1250985454,1691914868,2
1262708448,1268316239,2
1268316239,1398053920,2
1560086698,1498058927,2
1800036981,1691914868,2
1285046950,1268316239,2
1117870302,1846760823,2
1140899650,1740478348,2
1746691202,1157404621,2
1152746101,1740478348,2
1498058927,1415268036,2
1101806611,1654513755,2
1676632166,1056710815,2
1425476445,1740478348,2
1380326868,1380326868,2
1375813764,1846760823,2
1408173060,1740478348,2
1016244175,1056710815,2
2049802705,1846760823,2
1389419139,1415268036,2
2042329537,1157404621,2
1641196056,1641196056,2
1027305246,1398053920,2
1174975470,1996057095,2
