forward_from,forward_to,count
1398053920,1912440533,2289
1031941686,1250811576,1254
1172691660,1250811576,1236
1786323233,1786323233,1071
1907268168,1205641526,736
1498939244,1205641526,666
1558986925,1437021974,607
1382991987,1374961501,605
1382991987,1285109582,574
1320878011,1320878011,487
1502674862,1374961501,484
1285109582,1250811576,438
1538582143,1139279191,409
1683565518,1285109582,404
1398053920,1501908032,394
1662934043,1285109582,363
1382991987,1662934043,340
1210987817,1205641526,333
1272270169,1248033140,329
2085331538,1798073882,300
1691914868,1649202459,279
1701518765,1374961501,278
1398867876,1258240986,274
1510937160,1101806611,272
1514647226,1662934043,271
1649202459,1250811576,271
1538074934,1810112073,255
2018712933,1285109582,254
1027305246,1258240986,254
1660271289,1437021974,254
2077657312,1358740402,247
1334094736,1334094736,247
1600720965,1242668396,243
1662934043,1514647226,240
1683565518,1250811576,238
1562153282,1358740402,237
1489695270,1248033140,229
1860107178,1394010098,216
1583313036,1205641526,215
1258607202,1437021974,215
2085331538,1719736627,201
2133491368,1074354585,199
1895192033,1248033140,193
1204663994,1250811576,191
1459834073,1258240986,186
1309842972,1248033140,186
2011646417,1940949878,179
2077657312,1894228419,177
1894228419,1358740402,171
1907268168,1074354585,170
1358740402,1894228419,168
1266318176,1396523026,166
1326040001,1523014720,165
1358740402,1562153282,163
1699833011,1570078902,162
1154851627,1649202459,162
1730870551,1205641526,159
1510885863,1101806611,157
1691914868,1374961501,154
1894228419,1649202459,149
2077657312,1170367476,146
1600720965,1893553983,145
1339104613,1248033140,145
1907490444,1205641526,142
1691914868,1290899049,141
1290271658,1258240986,139
1426514777,1396523026,139
1499019500,1250811576,137
1151557620,1151557620,136
1721740591,1374961501,135
1683565518,1248033140,133
1808004428,1476688078,133
1539622584,1570078902,133
1326040001,1248033140,132
1691914868,1662934043,129
1208909296,1404658297,129
1358740402,1250811576,128
1382991987,1250811576,126
1688839137,1290899049,126
2095984797,1189641428,124
1641356810,1233275398,122
1908953484,1381856797,122
1358740402,1649202459,121
1083432125,1248033140,120
1407718466,1553508389,120
1172691660,1662934043,120
1380164767,1380164767,119
1544053508,1381856797,119
1513431778,1292891939,119
1011715096,1139279191,117
1570200651,1290899049,117
1250985454,1374961501,117
1578167821,1101806611,116
1625172999,1381856797,114
1358740402,2077657312,114
1226000036,1443518249,113
1005998238,1894228419,112
1720094906,1101806611,112
1285109582,1248033140,111
1736828635,1394010098,111
1154851627,1285109582,111
1437021974,1437021974,110
1154851627,1540145644,109
1570200651,1374961501,109
1499019500,1374961501,109
1655126925,1662934043,106
1439749762,1265355020,105
1716829120,1189641428,104
1894228419,1170367476,104
1396523026,1396523026,103
2027215192,1358740402,101
1033068651,1258240986,101
1649202459,1358740402,101
1525282267,1248033140,101
1510937160,1283359437,100
1291264393,1248033140,100
1401755002,1248033140,97
1641196056,1233275398,96
1149744575,1381856797,96
1172691660,1290899049,96
1154851627,1523014720,95
1160380992,1160380992,95
1258240986,1248033140,95
1683565518,1523014720,94
1459834073,1248033140,93
1527209198,1205641526,93
1788194728,1374961501,93
1117870302,1375813764,92
1694566316,1170367476,92
1894228419,1562153282,91
1584591597,1288641123,89
2085921682,1392084409,89
1372572294,1372572294,88
1769855801,1248033140,88
1358740402,1170367476,87
1642826727,1553508389,87
1172691660,1374961501,86
1222742641,1381856797,86
1267488256,1381856797,86
1699360698,1258240986,86
1894228419,2077657312,86
1900912194,1248033140,85
1432950893,2108908461,84
1683565518,1170367476,83
1965641147,1205641526,83
1850320974,1662934043,82
1382991987,1514647226,82
1205641526,1292891939,82
1431984440,1248033140,81
1716286817,1404658297,81
1405838275,2108908461,80
1283359437,1101806611,80
1364442020,1437021974,80
1285109582,1662934043,80
1827791940,1476688078,79
1074354585,1205641526,78
1154320130,1553508389,78
1570200651,1662934043,77
1356558570,1101806611,76
1459834073,1553508389,76
1637815093,1250811576,76
1361183669,1381856797,76
1170367476,1358740402,75
1241758503,1381856797,74
1449269475,1514477649,74
1641196056,1139279191,74
1300770834,1320878011,74
1350954050,1248033140,73
1633785633,1101806611,72
1334094736,1394010098,72
1570200651,1514647226,72
1272474742,1233275398,72
1285109582,1382991987,71
1649202459,1894228419,71
1691914868,1523014720,70
1170367476,1248033140,70
1358740402,1358740402,69
1395214341,1432950893,68
1767919455,1285109582,68
1649202459,1290899049,68
1260622817,1205641526,67
2045256398,1476688078,67
1265856574,1437021974,67
1154851627,1248033140,67
1248033140,1248033140,66
1272474742,1374961501,66
1192848208,1258240986,65
1691914868,1540145644,64
1486488276,1540145644,64
1641196056,1472543380,64
1754191466,1374961501,64
1595839251,1101806611,64
1694566316,1374961501,63
1326040001,1285109582,63
1694566316,1523014720,63
1760937869,1476688078,63
1210987817,1101806611,62
1456630908,1381856797,62
1091665289,1250811576,62
1499019500,1523014720,61
1894228419,1250811576,61
1111884422,1476688078,61
1005998238,1358740402,61
1486488276,1662934043,61
1701518765,1139279191,61
1600720965,1484687658,60
1154851627,1394010098,60
1520488716,1716286817,60
1285109582,1523014720,60
1313563250,1381856797,60
1186548673,1248033140,60
1710801032,1394010098,59
1382991987,1472543380,59
1218410161,1074354585,59
1291008493,1278390541,59
1456727884,1334094736,59
1516567901,1382991987,59
1353898111,1248033140,58
1777255974,1248033140,58
1480153320,1248033140,58
1358740402,1290899049,58
1401755002,1258240986,58
1691914868,1250811576,58
1651112748,1381856797,58
1382991987,1540145644,58
1358740402,1683565518,58
1649202459,1562153282,58
1278150061,1374961501,57
1170367476,2077657312,57
1212124138,1278390541,57
1285109582,1472543380,57
1755851432,1394010098,56
1427418932,1248033140,55
1775745152,1250811576,55
1461938766,1250811576,55
1801200615,1248033140,54
1481388382,1716286817,54
1212902599,1443518249,54
2018712933,1570078902,54
1649202459,1154851627,54
1292891939,1205641526,53
1466946665,1381856797,53
2082379855,1716286817,53
1154851627,1250811576,53
1803285616,1637791626,52
2108908461,1432950893,52
1635046106,1540145644,51
1694566316,1290899049,51
1676632166,1277225967,51
1893553983,1893553983,50
1721740591,1250811576,50
1233275398,1139279191,50
1101806611,1626866857,50
1513431778,1323132810,50
1635046106,1290899049,50
1139279191,1334094736,49
1706454579,1248033140,49
1259199952,1437021974,48
1291169503,1242668396,48
1358740402,1374961501,48
1394273454,2108908461,48
1649202459,1683565518,47
1254320847,1443518249,47
1640195985,1553508389,47
1499019500,1562153282,47
1899565756,1523014720,47
1205641526,1323132810,47
1649214617,1893553983,46
1237075136,1443518249,46
1719736627,1798073882,46
1919584255,1396523026,46
1170367476,1562153282,46
1451968169,1283359437,46
1683565518,1562153282,45
1362268753,1285109582,44
1613738039,2108908461,44
1292891939,1292891939,44
1443758287,1248033140,44
1537757408,1277225967,44
1358740402,1662934043,44
1627070796,1662934043,44
1285109582,1514647226,44
1893553983,1443518249,44
1775745152,1562153282,44
1731206105,1662934043,44
1379352731,1258240986,44
1386989036,1248033140,44
1649202459,1523014720,43
1895192033,1683565518,43
1641196056,1683565518,43
1775745152,1358740402,43
1768720470,1381856797,43
1067340713,1485363608,43
1170367476,1894228419,43
1860107178,1396523026,43
1498939244,1101806611,43
1250811576,1662934043,43
1172691660,1562153282,42
1248033140,1553508389,42
1031941686,1662934043,42
1339301474,1248033140,42
1327462805,1248033140,42
1272953589,1292891939,42
1386383111,1484687658,41
1185782282,1514477649,41
1328125090,1893553983,41
1562144364,1443518249,41
1584480250,1292891939,41
1298504416,1248033140,41
1747227486,1381856797,41
1562153282,1374961501,40
1432950893,1278390541,40
1510269826,1292891939,40
1289799313,1392084409,40
2063154906,2108908461,40
1771711124,1292891939,40
1720888508,1290899049,40
1820842292,1887784100,40
1272474742,1250811576,40
1932910326,1716286817,40
1654513755,1662934043,40
1374961501,1562153282,40
1374719484,1404658297,40
1371670256,1126621715,40
1254320847,1893553983,39
1277215841,1514647226,39
1486488276,1649202459,39
1683565518,1662934043,39
1409761930,1553508389,39
1185457530,1101806611,39
1172691660,1523014720,38
1443518249,1893553983,38
1406061458,1258240986,38
1583313036,1074354585,38
1490307805,1323132810,38
1490307805,1292891939,38
1562153282,1649202459,37
1894228419,1662934043,37
1241559280,1074354585,37
1091665289,1472543380,37
1691914868,1562153282,37
1204663994,1523014720,37
2077657312,1374961501,37
1277509132,1381856797,37
1212124138,1381856797,37
1467363878,1662934043,36
1306129191,1278390541,36
1840127418,1248033140,36
1382991987,1683565518,36
1798073882,1719736627,36
1285109582,1683565518,36
1184842364,1171684274,36
1323132810,1292891939,36
1775745152,1649202459,36
1679287430,1374961501,36
1393223404,1258240986,36
1450908211,1553508389,36
1323434852,1242668396,35
1337349946,1189641428,35
1172228501,1893553983,35
1854010794,1437021974,35
1218410161,1101806611,35
1662934043,1472543380,35
1511292487,1292891939,35
1229606559,1381856797,35
1186985785,1443518249,35
1229606559,1432950893,35
1620898749,1285109582,34
1662934043,1683565518,34
1380164767,1248033140,34
1736895964,1205641526,34
1919584255,1394010098,34
1212124138,2108908461,34
1376527483,1381856797,34
1837757788,1101806611,34
1683565518,1649202459,34
